NeuronA,NeuronB,Relatedness
ADAR,RIFR,15.0
ADAR,RIGL,16.0
ADAR,RIGR,14.0
ADAR,RIH,14.0
ADAR,RIML,16.0
ADAR,RIMR,14.0
ADAR,RIPL,18.0
ADAR,RIPR,10.0
ADAR,RIR,14.0
ADAR,RIS,14.0
ADAR,RIVL,16.0
ADAR,RIVR,14.0
ADAR,RMDDL,18.0
ADAR,RMDDR,18.0
ADAR,RMDL,18.0
ADAR,RMDR,12.0
ADAR,RMDVL,18.0
ADAR,RMDVR,18.0
ADAR,RMED,18.0
ADAR,RMEL,18.0
ADAR,RMER,18.0
ADAR,RMEV,16.0
ADAR,RMFL,17.0
ADAR,RMFR,17.0
ADAR,RMGL,16.0
ADAR,RMGR,4.0
ADAR,RMHL,15.0
ADAR,RMHR,15.0
ADAR,SAADL,18.0
ADAR,SAADR,18.0
ADAR,SAAVL,16.0
ADAR,SAAVR,14.0
ADAR,SABD,16.0
ADAR,SABVL,17.0
ADAR,SABVR,15.0
ADAR,SDQL,19.0
ADAR,SDQR,11.0
ADAR,SIADL,16.0
ADAR,SIADR,14.0
ADAR,SIAVL,16.0
ADAR,SIAVR,14.0
ADAR,SIBDL,16.0
ADAR,SIBDR,14.0
ADAR,SIBVL,16.0
ADAR,SIBVR,14.0
ADAR,SMBDL,19.0
ADAR,SMBDR,19.0
ADAR,SMBVL,18.0
ADAR,SMBVR,18.0
ADAR,SMDDL,16.0
ADAR,SMDDR,14.0
ADAR,SMDVL,18.0
ADAR,SMDVR,18.0
ADAR,URADL,16.0
ADAR,URADR,18.0
ADAR,URAVL,16.0
ADAR,URAVR,14.0
ADAR,URBL,16.0
ADAR,URBR,12.0
ADAR,URXL,17.0
ADAR,URXR,19.0
ADAR,URYDL,18.0
ADAR,URYDR,18.0
ADAR,URYVL,16.0
ADAR,URYVR,14.0
ADAR,VA01,7.0
ADAR,VA02,19.0
ADAR,VA03,13.0
ADAR,VA04,19.0
ADAR,VA05,13.0
ADAR,VA06,19.0
ADAR,VA07,13.0
ADAR,VA08,19.0
ADAR,VA09,11.0
ADAR,VA10,19.0
ADAR,VA11,19.0
ADAR,VA12,11.0
ADAR,VB01,9.0
ADAR,VB02,8.0
ADAR,VB03,19.0
ADAR,VB04,13.0
ADAR,VB05,19.0
ADAR,VB06,13.0
ADAR,VB07,19.0
ADAR,VB08,13.0
ADAR,VB09,19.0
ADAR,VB10,11.0
ADAR,VB11,19.0
ADAR,VC01,12.0
ADAR,VC02,18.0
ADAR,VC03,12.0
ADAR,VC04,18.0
ADAR,VC05,12.0
ADAR,VD01,7.0
ADAR,VD02,8.0
ADAR,VD03,18.0
ADAR,VD04,12.0
ADAR,VD05,18.0
ADAR,VD06,12.0
ADAR,VD07,18.0
ADAR,VD08,12.0
ADAR,VD09,18.0
ADAR,VD10,10.0
ADAR,VD11,18.0
ADAR,VD12,18.0
ADAR,VD13,10.0
ADEL,ADER,17.0
ADEL,ADFL,18.0
ADEL,ADFR,16.0
ADEL,ADLL,18.0
ADEL,ADLR,16.0
ADEL,AFDL,18.0
ADEL,AFDR,16.0
ADEL,AIAL,14.0
ADEL,AIAR,16.0
ADEL,AIBL,12.0
ADEL,AIBR,16.0
ADEL,AIML,14.0
ADEL,AIMR,16.0
ADEL,AINL,18.0
ADEL,AINR,18.0
ADEL,AIYL,14.0
ADEL,AIYR,16.0
ADEL,AIZL,5.0
ADEL,AIZR,17.0
ADEL,ALA,18.0
ADEL,ALML,18.0
ADEL,ALMR,18.0
ADEL,ALNL,10.0
ADEL,ALNR,18.0
ADEL,AQR,18.0
ADEL,AS01,18.0
ADEL,AS02,8.0
ADEL,AS03,18.0
ADEL,AS04,12.0
ADEL,AS05,18.0
ADEL,AS06,12.0
ADEL,AS07,18.0
ADEL,AS08,12.0
ADEL,AS09,18.0
ADEL,AS10,10.0
ADEL,AS11,10.0
ADEL,ASEL,19.0
ADEL,ASER,17.0
ADEL,ASGL,12.0
ADEL,ASGR,16.0
ADEL,ASHL,14.0
ADEL,ASHR,16.0
ADEL,ASIL,13.0
ADEL,ASIR,17.0
ADEL,ASJL,19.0
ADEL,ASJR,17.0
ADEL,ASKL,19.0
ADEL,ASKR,17.0
ADEL,AUAL,19.0
ADEL,AUAR,17.0
ADEL,AVAL,18.0
ADEL,AVAR,18.0
ADEL,AVBL,14.0
ADEL,AVBR,16.0
ADEL,AVDL,18.0
ADEL,AVDR,18.0
ADEL,AVEL,18.0
ADEL,AVER,16.0
ADEL,AVFL,18.0
ADEL,AVFR,19.0
ADEL,AVG,16.0
ADEL,AVHL,18.0
ADEL,AVHR,18.0
ADEL,AVJL,18.0
ADEL,AVJR,18.0
ADEL,AVKL,14.0
ADEL,AVKR,16.0
ADEL,AVL,16.0
ADEL,AVM,19.0
ADEL,AWAL,12.0
ADEL,AWAR,16.0
ADEL,AWBL,18.0
ADEL,AWBR,16.0
ADEL,AWCL,14.0
ADEL,AWCR,16.0
ADEL,BAGL,18.0
ADEL,BAGR,18.0
ADEL,BDUL,18.0
ADEL,BDUR,18.0
ADEL,CEPDL,13.0
ADEL,CEPDR,19.0
ADEL,CEPVL,15.0
ADEL,CEPVR,17.0
ADEL,DA01,16.0
ADEL,DA02,14.0
ADEL,DA03,16.0
ADEL,DA04,14.0
ADEL,DA05,16.0
ADEL,DA06,14.0
ADEL,DA07,16.0
ADEL,DA08,16.0
ADEL,DA09,14.0
ADEL,DB01,14.0
ADEL,DB02,18.0
ADEL,DB03,16.0
ADEL,DB04,16.0
ADEL,DB05,14.0
ADEL,DB06,14.0
ADEL,DB07,16.0
ADEL,DD01,14.0
ADEL,DD02,16.0
ADEL,DD03,14.0
ADEL,DD04,16.0
ADEL,DD05,14.0
ADEL,DD06,16.0
ADEL,DVA,16.0
ADEL,DVB,15.0
ADEL,DVC,18.0
ADEL,FLPL,5.0
ADEL,FLPR,17.0
ADEL,HSNL,11.0
ADEL,HSNR,17.0
ADEL,IL1DL,19.0
ADEL,IL1DR,19.0
ADEL,IL1L,19.0
ADEL,IL1R,19.0
ADEL,IL1VL,19.0
ADEL,IL1VR,19.0
ADEL,IL2DL,18.0
ADEL,IL2DR,18.0
ADEL,IL2L,18.0
ADEL,IL2R,18.0
ADEL,IL2VL,18.0
ADEL,IL2VR,18.0
ADEL,LUAL,15.0
ADEL,LUAR,17.0
ADEL,OLLL,19.0
ADEL,OLLR,17.0
ADEL,OLQDL,19.0
ADEL,OLQDR,19.0
ADEL,OLQVL,15.0
ADEL,OLQVR,17.0
ADEL,PDA,16.0
ADEL,PDB,18.0
ADEL,PDEL,12.0
ADEL,PDER,20.0
ADEL,PHAL,14.0
ADEL,PHAR,16.0
ADEL,PHBL,11.0
ADEL,PHBR,17.0
ADEL,PHCL,14.0
ADEL,PHCR,20.0
ADEL,PLML,10.0
ADEL,PLMR,18.0
ADEL,PLNL,14.0
ADEL,PLNR,20.0
ADEL,PQR,10.0
ADEL,PVCL,15.0
ADEL,PVCR,17.0
ADEL,PVDL,13.0
ADEL,PVDR,21.0
ADEL,PVM,11.0
ADEL,PVNL,13.0
ADEL,PVNR,19.0
ADEL,PVPL,14.0
ADEL,PVPR,16.0
ADEL,PVQL,10.0
ADEL,PVQR,16.0
ADEL,PVR,18.0
ADEL,PVT,14.0
ADEL,PVWL,12.0
ADEL,PVWR,18.0
ADEL,RIAL,18.0
ADEL,RIAR,18.0
ADEL,RIBL,14.0
ADEL,RIBR,16.0
ADEL,RICL,15.0
